날짜,설교제목,본문,오전찬송,헌금찬송,마무리찬송,비고
2024-11-10,주일 오전예배-하나님의 진실하시되,로마서 3:1~4,569;9,457,398,
2024-11-24,주일 오전예배-감사행진,시편 136:1~26,286;49,450,402,
2024-12-01,주일 오전예배-단 한 사람도 없도다,로마서 3:9~12,287;53,446,394,
2024-12-08,주일 오전예배-두려워함이 없느니라,로마서 3:13~18,134;55,371,396,
2024-12-15,주일 오전예배-율법에 의해서는,로마서 3:19~20,163;48,344,393,
2024-12-22,주일 오전예배-율법 밖에 있는 의,로마서 3:21~22,521;32,346,402,
2025-01-05,주일 오전예배-오직 믿음의 법으로니라,로마서 3:25~27,494;37,369,402,
2025-01-12,주일 오전예배-우리는 결론을 내리노라,로마서 3:28~31,493;45,511,393,
2025-01-19,주일 오전예배-아브라함이 하나님을 믿으메,로마서 4:1~5,494;42,152,402,
2025-02-02,주일 오전예배-세상의 상속자,로마서 4:13~15,460;29,179,399,
2025-02-09,주일 오전예배-그가 믿은 하나님은,로마서 4:16~18,2;381,346,402,
2025-02-23,주일 오전예배-하나님과의 화평,로마서 5:1,5;197,341,401,
2025-03-02,주일 오전예배-환난도 기뻐하나니,로마서 5:2~4,7;196,284,402,
2025-03-09,주일 오전예배-우리를 향한 하나님의 사랑,로마서 5:5~8,8;285,197,404,
2025-03-30,주일 오전예배-내가 그라,마가복음 1:1,233;569,284,222,
2025-04-06,주일 오전예배-은혜도 군림하여,로마서 5:17~21,25;208,369,437,
2025-04-13,주일 오전예배-섬김은 설레임이다,마가복음 10:45,28;131,511,402,
2025-04-20,주일 오전예배-죄를 향해 죽은 우리,로마서 6:1~4,29;117,437,225,
2025-05-11,주일 오전예배-하나님께 드리라,로마서 6:12~14,204;494,585,412,
2025-05-25,주일 오전예배-거룩함에 이르라,로마서 6:19~23,48;444,178,415,
2025-06-08,주일 오전예배-율법을 향해 죽은 우리,로마서 7:1~6,55;451,79,394,
2025-06-15,주일 오전예배-율법과 죄의 갈등 속에서,로마서 7:7~12,65;493,514,402,
2025-07-06,주일 오전예배-생명의 성령의 법,로마서 8:1~4,61;286,179,411,
2025-07-20,주일 오전예배-몸의 행실을 죽이라,로마서 8:12~14,80;177,586,404,
2025-07-27,주일 오전예배-하나님의 상속자,로마서 8:15~18,74;208,179,402,
2025-08-03,주일 오전예배-몸의 구속을 기다림은,로마서 8:19~25,49;500,371,403,
2025-08-10,주일 오전예배-모든 것이 합력하여,로마서 8:16~31,63;181,405,331,
2025-08-17,주일 오전예배-누가 우리를 대적할 수 있느냐?,로마서 8:31~39,31;177,285,401,
2025-08-24,주일 오전예배-사명,이사야 6:1~8,46;530,508,401,
2025-08-31,주일 오전예배-내가 확신하노니,로마서 8:38~39,29;493,438,290,
2025-09-07,주일 오전예배-마음속에 큰 근심이 있고,로마서 9:1~5,21;495,344,266,
2025-09-14,주일 오전예배-약속의 자녀,로마서 9:6~9,204;332,437,290,
2025-09-21,주일 오전예배-하나님의 주권과 선택(1),로마서 9:10~15,166;285,419,231,
2025-09-28,주일 오전예배-나로부터,마태복음 7:1~5,157;451,533,231,
2025-10-12,"주일 오전예배-걸림돌인가, 반석인가?",로마서 9:24~33,40;285,174,317,
2025-10-19,"주일 오전예배-율법의 끝마침, 그리스도",로마서 10:1~8,42;518,179,409,
2025-10-26,주일 오전예배-주의 이름을 부르는 자는,로마서 10:9~15,45;362,468,394,
2025-11-09,주일 오전예배-남은 자가 있느니라,로마서 11:1~5,48;286,287,231,
2025-11-16,주일 오전예배-그들이 걸려 넘어짐으로,로마서 11:6~12,37;148,317,266,
2025-11-23,주일 오전예배-접붙여진 가지,로마서 11:13~24,29;152,450,323,
2025-12-07,주일 오전예배-너희에게 간청하노니,로마서 12:1,29;152,179,434,
2025-12-21,주일 오전예배-이 세상에 동화되지 말고,로마서 12:2,41;500,70,399,
2025-12-28,주일 오전예배-변화를 받으라,로마서 12:2,45;170,199,240,
2026-01-04,주일 오전예배-믿음의 분량대로,로마서 12:3~8,18;197,396,402,
2026-01-11,주일 오전예배-형제의 사랑으로,로마서 12:9~14,40;375,191,399,
2026-01-18,주일 오전예배-선으로 악을 이기라,로마서 12:15~21,41;236,419,323,
2026-01-25,주일 오전예배-하나님께서 정하셨느니라,로마서 13:1~7,45;208,444,397,
2026-02-01,주일 오전예배-빛의 갑옷을 입자,로마서 13:8~14,42;520,236,399,
2026-02-08,"주일 오전예배-시내산의 불, 십자가에서 사랑이 되다",출애굽기 19:7~13,569;45,40,,
2026-03-29,주일 오전예배-문안하라,로마서 16:1~12,25;101,316,418,
2026-04-05,주일 오전예배-부활의 증인들,누가복음 24:44~48,45;117,121,414,
2026-04-12,주일 오전예배-문안하라(2),로마서 16:13~17,37;493,267,415,
2026-04-19,주일 오전예배-문안하라(3),로마서 16:17~27,26;494,268,402,
2026-04-26,"주일 오전예배-배교의 시대, 엘리야처럼 서라",열왕기상 17:1,25;494,179,418,
2026-05-03,"주일 오전예배-주님이 명하신 곳, 거기서",열왕기상 17:2~4,41;236,585,415,
2026-05-10,주일 오전예배-마른 시냇가에서 사르밧까지,열왕기상 17:8~9,29;162,189,427,
2026-05-24,주일 오전예배-그가 일아너 사르밧으로 가서,열왕기상 17:10~12,37;457,366,418,
2026-06-21,주일 오전예배-시련을 이기는 믿음,열왕기상 17:19~24,80;500,435,359,
2026-06-28,주일 오전예배-하나님의 숨은 일꾼들,열왕기상 18:1~14,18;281,292,403,
