번호,제목
225,십자가의 보혈
226,어머니 기도 못잊어
227,여러 해 동안 주 떠나
228,내 갈길 멀고 밤은 깊은데
229,죄인 받아 주시네
230,의지하세 의지하세
231,예수가 우리를 부르는 소리
232,너희 죄 흉악하나
233,만유의 주재
234,모시어 들이세
235,구주께서 간절히
236,속죄하는 어린양의 피로써
237,온유한 주께서 부르시네
238,돌아와 돌아와
239,주 네 맘에 들어가시려 할 때
240,예수 앞에 나오면
241,예수께 한 걸음씩
242,외로워하는 이 누구인가
243,구주를 영접하라
244,온유한 주님의 음성
245,웬일인가 내 친구여
246,양 아흔 아홉 마리는
247,친구여 왜 머무나
248,너의 죄짐 지신 예수
249,주님 모시게
250,내게로 와서 쉬어라
251,진실로 진실로
252,네 가는 길에
253,다 준비됐다 모두 오라
254,주 널 부르시네
255,갈 길을 밝히 보이시니
256,놀랍고 기쁜 소식
257,깨우침 받은 때
258,주께로 거저 갑니다
259,주 예수 말씀 들으니
260,거듭나야 한다
261,주와 사귐 있나
262,주 달려 흘린 피
263,마지막 주가 부르는 음성
264,예수를 어떻게 하려나
265,주는 나의 친구
266,예수 따라가며
267,어려운 일 당할 때
268,나 요동 않겠네
269,환난과 핍박 중에도
270,믿음으로 살아가네
271,주의 깊은 긍휼을
272,주께 모두 맡기오
273,주 얼굴을 바라보라
274,능치 못 할 일 없네
275,변치않는 하나님
276,나 주를 의지하리
277,이러한 때
278,나는 반석 위에 섰네
279,그 이름 내 것일세
280,세상 죄 지신 주
281,구주와 함께 못 박혔으니
282,나의 모든 것이 변했네
283,널 떠나지 않으리라
284,단번에 주 날 구했네
285,내가 확실히 아네
286,찬송하세 찬송하세
287,이 몸의 소망 무언가
288,풍랑이 일고 바람이 불 때
289,눈에는 아무 증거 안뵐지라도
290,굳게 서리 굳게 서리
291,주님의 말씀은 견고한 기초니
292,굳게 잡아라 믿음
293,다른 소원 없네
294,포기하지 말라
295,어리석은 세상 중에
296,참 안식할 곳 바라보며
297,내 본향 천국 바라보며
298,주와 요단강 건너가리
299,주가 날 아심같이
300,나는 순례자
301,얼마나 놀라울까
302,본향 가는 길
303,이 세상 소망은
304,내 소망 주께 있네
305,주 크신 사랑 가운데
306,나 어디 갈까
307,찬란한 진주문 들어가
308,인생의 석양 맞을 때
309,이 세상은 내 집 아니네
310,저 멀리 뵈는 나의 시온성
311,나의 가는 길 다 끝날 때
312,영광의 아침
313,거기서 만나리
314,주님이 아시고 칭찬하리
315,어두운 후에 빛이 오며
316,그 날 다가오네
317,만세 반석 열리니
318,저 높은 곳을 향하여
319,시온성 올라가세
320,나의 마지막 여행길
321,그날까지
322,예수님 뵐 때
323,겸손히 주를 섬길 때
324,조용히 주님보라
325,저 예루살렘 성 밖에
326,더욱 사랑합니다
327,어둔 세상 밝혀주는 말씀
328,주의 사랑 비칠 때에
329,은혜 한량 없으신 주님
330,주 마음 가까이
331,주 안에 있는 나에게
332,평화 평화로다
333,구주 예수 의지함이
334,나의 반석 구주 예수
335,나 어느 곳에 있든지
336,곧 평안히 쉬리로다
337,오 주님은 안전한 반석이니
338,내 영혼 평안해
339,주 예수 넓은 품에
340,아침에 기도를 하며
341,주 날개 밑
342,예수님은 나의 사공
343,십자가 그늘 아래
344,주 내 맘에 주신 노래
345,그 은혜가 내게 족하네
346,예수는 나의 힘이요
347,예수 밖에 누가 있으랴
348,그대 쉴만한 곳 있네
349,오 주 없인 살 수 없네
350,믿음 지켜라
351,주 밖에 어디 숨으리까
352,주님의 뜻을 이루소서
353,참 기쁜 복 내 것일세
354,주의 영원한 팔 의지해
355,주 항상 계시네
356,예수 밖에 누가 알랴
357,날마다
358,고난 중에 노래를 주신 주
359,주께로 가까이 더 가까이
360,슬픔 걱정 가득차고
361,주님이 못 고칠 슬픔없네
362,전능하신 우리 주 하나님
363,내 평생 소원 이것 뿐
364,내게 오라
365,주 예수 지신 십자가
366,주께 맡겨라
367,강물 같은 평화
368,내 맘 속에 아침 햇살 비치네
369,내 영혼에 햇빛 비치니
370,기쁘다 주님 내가 알아
371,나 주 안에 늘 기쁘다
372,내 맘 속에 노래 있으니
373,태산을 넘어 험곡에 가도
374,내 맘 속에 울리는 노래
375,주가 나의 맘에 기쁨 주시네
376,빛 가운데서
377,나의 생명되신 주
378,예수 더 알기 원하네
379,나 깊이 잠기겠네
380,주께 더욱 가까이
381,주의 큰 사랑
382,구주를 닮게 하옵소서
383,햇빛 되게 하소서
384,약속하신 새 땅에
385,변찮는 주님의 귀한 약속
386,죄짐 맡은 우리 구주
387,날 구해 주실 이 오직 예수
388,나를 숨겨 주소서
389,내 기도하는 그 시간
390,기도하는 이 시간
391,아침 문을 나설 때에
